id;start_date;end_date;language
1;2020-02-06T13:35:00;2020-02-06T11:25:15;SPANISH
2;2020-02-05T18:25:11;2020-02-06T13:29:36;SPANISH
3;2020-02-06T09:20:30;2020-02-05T19:54:39;FRENCH
4;2020-02-06T00:38:01;2020-02-06T12:09:27;FRENCH
5;2020-02-06T10:08:19;2020-02-06T14:55:18;FRENCH
6;2020-02-06T04:00:40;2020-02-06T16:08:54;FRENCH
7;2020-02-06T05:46:00;2020-02-05T23:36:51;FRENCH
8;2020-02-06T04:42:13;2020-02-06T14:58:21;SPANISH
9;2020-02-06T03:23:22;2020-02-06T00:04:45;SPANISH
10;2020-02-06T11:35:26;2020-02-05T22:09:56;SPANISH
